CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100),Cluster
1,0,19,15,39,4
2,0,21,15,81,4
3,1,20,16,6,3
4,1,23,16,77,4
5,1,31,17,40,4
6,1,22,17,76,4
7,1,35,18,6,3
8,1,23,18,94,4
9,0,64,19,3,3
10,1,30,19,72,4
11,0,67,19,14,3
12,1,35,19,99,4
13,1,58,20,15,3
14,1,24,20,77,4
15,0,37,20,13,3
16,0,22,20,79,4
17,1,35,21,35,3
18,0,20,21,66,4
19,0,52,23,29,3
20,1,35,23,98,4
21,0,35,24,35,3
22,0,25,24,73,4
23,1,46,25,5,3
24,0,31,25,73,4
25,1,54,28,14,3
26,0,29,28,82,4
27,1,45,28,32,3
28,0,35,28,61,4
29,1,40,29,31,3
30,1,23,29,87,4
31,0,60,30,4,3
32,1,21,30,73,4
33,0,53,33,4,3
34,0,18,33,92,4
35,1,49,33,14,3
36,1,21,33,81,4
37,1,42,34,17,3
38,1,30,34,73,4
39,1,36,37,26,3
40,1,20,37,75,4
41,1,65,38,35,0
42,0,24,38,92,4
43,0,48,39,36,3
44,1,31,39,61,4
45,1,49,39,28,3
46,1,24,39,65,4
47,1,50,40,55,0
48,1,27,40,47,4
49,1,29,40,42,4
50,1,31,40,42,4
51,1,49,42,52,0
52,0,33,42,60,4
53,1,31,43,54,4
54,0,59,43,60,0
55,1,50,43,45,0
56,0,47,43,41,0
57,1,51,44,50,0
58,0,69,44,46,0
59,1,27,46,51,4
60,0,53,46,46,0
61,0,70,46,56,0
62,0,19,46,55,4
63,1,67,47,52,0
64,1,54,47,59,0
65,0,63,48,51,0
66,0,18,48,59,4
67,1,43,48,50,0
68,1,68,48,48,0
69,0,19,48,59,4
70,1,32,48,47,4
71,0,70,49,55,0
72,1,47,49,42,0
73,1,60,50,49,0
74,1,60,50,56,0
75,0,59,54,47,0
76,0,26,54,54,4
77,1,45,54,53,0
78,0,40,54,48,0
79,1,23,54,52,4
80,1,49,54,42,0
81,0,57,54,51,0
82,0,38,54,55,4
83,0,67,54,41,0
84,1,46,54,44,0
85,1,21,54,57,4
86,0,48,54,46,0
87,1,55,57,58,0
88,1,22,57,55,4
89,1,34,58,60,4
90,1,50,58,46,0
91,1,68,59,55,0
92,0,18,59,41,4
93,0,48,60,49,0
94,1,40,60,40,0
95,1,32,60,42,4
96,0,24,60,52,4
97,1,47,60,47,0
98,1,27,60,50,4
99,0,48,61,42,0
100,0,20,61,49,4
101,1,23,62,41,4
102,1,49,62,48,0
103,0,67,62,59,0
104,0,26,62,55,4
105,0,49,62,56,0
106,1,21,62,42,4
107,1,66,63,50,0
108,0,54,63,46,0
109,0,68,63,43,0
110,0,66,63,48,0
111,0,65,63,52,0
112,1,19,63,54,4
113,1,38,64,42,1
114,0,19,64,46,4
115,1,18,65,48,4
116,1,19,65,50,4
117,1,63,65,43,0
118,1,49,65,59,0
119,1,51,67,43,0
120,1,50,67,57,0
121,0,27,67,56,4
122,1,38,67,40,1
123,1,40,69,58,2
124,0,39,69,91,2
125,1,23,70,29,1
126,1,31,70,77,2
127,0,43,71,35,1
128,0,40,71,95,2
129,0,59,71,11,1
130,0,38,71,75,2
131,0,47,71,9,1
132,0,39,71,75,2
133,1,25,72,34,1
134,1,31,72,71,2
135,0,20,73,5,1
136,1,29,73,88,2
137,1,44,73,7,1
138,0,32,73,73,2
139,0,19,74,10,1
140,1,35,74,72,2
141,1,57,75,5,1
142,0,32,75,93,2
143,1,28,76,40,1
144,1,32,76,87,2
145,0,25,77,12,1
146,0,28,77,97,2
147,0,48,77,36,1
148,1,32,77,74,2
149,1,34,78,22,1
150,0,34,78,90,2
151,0,43,78,17,1
152,0,39,78,88,2
153,1,44,78,20,1
154,1,38,78,76,2
155,1,47,78,16,1
156,1,27,78,89,2
157,0,37,78,1,1
158,1,30,78,78,2
159,0,34,78,1,1
160,1,30,78,73,2
161,1,56,79,35,0
162,1,29,79,83,2
163,0,19,81,5,1
164,1,31,81,93,2
165,0,50,85,26,1
166,1,36,85,75,2
167,0,42,86,20,1
168,1,33,86,95,2
169,1,36,87,27,1
170,0,32,87,63,2
171,0,40,87,13,1
172,0,28,87,75,2
173,0,36,87,10,1
174,0,36,87,92,2
175,1,52,88,13,1
176,1,30,88,86,2
177,0,58,88,15,1
178,0,27,88,69,2
179,0,59,93,14,1
180,0,35,93,90,2
181,1,37,97,32,1
182,1,32,97,86,2
183,0,46,98,15,1
184,1,29,98,88,2
185,1,41,99,39,1
186,0,30,99,97,2
187,1,54,101,24,1
188,0,28,101,68,2
189,1,41,103,17,1
190,1,36,103,85,2
191,1,34,103,23,1
192,1,32,103,69,2
193,0,33,113,8,1
194,1,38,113,91,2
195,1,47,120,16,1
196,1,35,120,79,2
197,1,45,126,28,1
198,0,32,126,74,2
199,0,32,137,18,1
200,0,30,137,83,2
